Kubernetes Command	                                               Description
"kubectl apply -f filename"	                            //TO create a deployment/service/configmap based on a given YAML file
"kubectl get all"	                                    //TO get all the components inside your cluster
"kubectl get pods"	                                    //TO get all the pods details inside your cluster
"kubectl get pod pod-id"	                            //TO get the details of a given pod id
"kubectl describe pod pod-id"	                        //TO get more details of a given pod id
"kubectl delete pod pod-id"	                            //TO delete a given pod from cluster
"kubectl get services"	                                //TO get all the services details inside your cluster
"kubectl get service service-id"	                    //TO get the details of a given service id
"kubectl describe service service-id"	                //TO get more details of a given service id
"kubectl get nodes"	                                    //TO get all the node details inside your cluster
"kubectl get node node-id"	                            //TO get the details of a given node
"kubectl get replicasets"	                            //TO get all the replica sets details inside your cluster
"kubectl get replicaset replicaset-id"	                //TO get the details of a given replicaset
"kubectl get deployments"	                            //TO get all the deployments details inside your cluster
"kubectl get deployment deployment-id"	                //TO get the details of a given deployment
"kubectl get configmaps"	                            //TO get all the configmap details inside your cluster
"kubectl get configmap configmap-id"	                //TO get the details of a given configmap
"kubectl get events --sort-by=.metadata.creationTimestamp"	  //TO get all the events occured inside your cluster
"kubectl scale deployment accounts-deployment --replicas=1"	  //TO set the number of replicas for a deployment inside your cluster
"kubectl set image deployment gatewayserver-deployment gatewayserver=eazybytes/gatewayserver:s11 --record"	            //TO set a new image for a deployment inside your cluster
"kubectl rollout history deployment gatewayserver-deployment"	                        //TO know the rollout history for a deployment inside your cluster
"kubectl rollout undo deployment gatewayserver-deployment --to-revision=1"	            //TO rollback to a given revision for a deployment inside your cluster
"kubectl get pvc"	                                                                    //TO list the pvcs inside your cluster
"kubectl delete pvc data-happy-panda-mariadb-0"	                                        //TO delete a pvc inside your cluster  
